STATE,District Name,Market Name,Commodity,Variety,Grade
Gujarat,bhavnagar,Bhavnagar,Wheat,Local,FAQ
Orissa,sambalpur,Kuchinda,Tomato,Other,FAQ
Kerala,kottayam,Kottayam,Tomato,Other,FAQ
Himachal Pradesh,kullu,Bhuntar,Potato,Other,FAQ
Uttar Pradesh,gonda,Gonda,Wheat,Dara,FAQ
Uttar Pradesh,bijnor,Chaandpur,Potato,Desi,FAQ
Madhya Pradesh,gwalior,Lashkar,Wheat,Mill Quality,FAQ
Rajasthan,bikaner,Lunkaransar,Wheat,Other,FAQ
Uttar Pradesh,mainpuri,Mainpuri,Wheat,Dara,FAQ
Punjab,gurdaspur,Dinanagar,Tomato,Tomato,FAQ
Punjab,sangrur,Dhuri,Tomato,Other,FAQ
Gujarat,ahmedabad,Mandal,Wheat,Other,FAQ
Maharashtra,mumbai,Vashi New Mumbai,Onion,Other,FAQ
Uttar Pradesh,jhansi,Moth,Potato,Desi,FAQ
Karnataka,mandya,Mandya,Tomato,Tomato,FAQ
Maharashtra,pune,Manchar,Onion,Other,FAQ
Madhya Pradesh,rewa,Chaakghat,Wheat,147 Average,FAQ
Rajasthan,ajmer,Madanganj Kishangarh,Onion,1st Sort,FAQ
Uttar Pradesh,gorakhpur,Chorichora,Tomato,Hybrid,FAQ
Uttar Pradesh,meerut,Meerut,Potato,Desi,FAQ
Haryana,kaithal,Kaithal,Tomato,Deshi,FAQ
Haryana,bhiwani,Bhiwani,Onion,Other,FAQ
Maharashtra,ahmednagar,Rahuri,Onion,Other,FAQ
Kerala,kottayam,Thalayolaparambu,Onion,Big,FAQ
Haryana,bhiwani,Ch. Dadri,Potato,Other,FAQ
Haryana,mewat,Nuh,Potato,Other,FAQ
Punjab,jalandhar,Bilga,Potato,Other,FAQ
Karnataka,belgaum,Belgaum,Potato,Local,FAQ
Gujarat,navsari,Bilimora,Potato,Other,FAQ
Uttar Pradesh,jhansi,Gurusarai,Wheat,Dara,FAQ
Uttar Pradesh,fatehpur,Bindki,Potato,Potato,FAQ
West Bengal,birbhum,Birbhum,Potato,Other,FAQ
Uttar Pradesh,hardoi,Madhoganj,Wheat,Dara,FAQ
West Bengal,murshidabad,Beldanga,Potato,Jyoti,FAQ
Madhya Pradesh,guna,Maksudangarh,Wheat,Other,FAQ
Maharashtra,pune,Khed(Chakan),Tomato,Other,FAQ
Orissa,dhenkanal,Hindol,Onion,Other,FAQ
Kerala,malappuram,Manjeri,Tomato,Other,FAQ
Haryana,palwal,Hassanpur,Onion,Other,FAQ
Uttar Pradesh,bareilly,Bareilly,Potato,Desi,FAQ
Madhya Pradesh,dhar,Manawar,Tomato,Deshi,FAQ
Uttar Pradesh,fatehpur,Bindki,Wheat,Dara,FAQ
Punjab,muktsar,Malout,Tomato,Tomato,FAQ
West Bengal,birbhum,Bolpur,Wheat,Sonalika,FAQ
Maharashtra,ahmednagar,Sangamner,Onion,Other,FAQ
Punjab,barnala,Barnala,Potato,Other,FAQ
Madhya Pradesh,tikamgarh,Jatara,Wheat,Mill Quality,FAQ
Madhya Pradesh,morena,Sabalgarh,Wheat,Deshi,FAQ
Maharashtra,sangli,Sangli,Wheat,Other,FAQ
Bihar,sheikhpura,Shekhpura,Potato,(Red Nanital),FAQ
Karnataka,bangalore,Kanakapura,Tomato,Hybrid,FAQ
Punjab,gurdaspur,Kalanaur,Tomato,Other,FAQ
Haryana,rohtak,Rohtak,Onion,Other,FAQ
Karnataka,kolar,Kolar,Tomato,Tomato,FAQ
Punjab,ludhiana,Samrala,Potato,Other,FAQ
Punjab,ludhiana,Khanna,Tomato,Other,FAQ
Punjab,jalandhar,Lohian Khas,Tomato,Other,FAQ
Bihar,sheikhpura,Shekhpura,Wheat,147 Average,FAQ
Orissa,kendrapara,Kendrapara(Marshaghai),Tomato,Tomato,FAQ
Uttar Pradesh,meerut,Sardhana,Potato,Desi,FAQ
Andhra Pradesh,karimnagar,Karimnagar(Rythu Bazar),Tomato,Deshi,FAQ
Madhya Pradesh,shajapur,Shujalpur,Wheat,Other,FAQ
Rajasthan,jalore,Jalore,Tomato,Other,FAQ
Kerala,palakad,Koduvayoor,Onion,Big,FAQ
Punjab,muktsar,Bariwala,Tomato,Other,FAQ
Maharashtra,jalgaon,Yawal,Wheat,Other,FAQ
Uttar Pradesh,mainpuri,Mainpuri,Tomato,Deshi,FAQ
Maharashtra,nashik,Satana,Onion,Other,FAQ
Gujarat,gandhinagar,Mansa(Manas Veg Yard),Tomato,Other,FAQ
Uttar Pradesh,sitapur,Sitapur,Wheat,Dara,FAQ
Punjab,patiala,Rajpura,Potato,Other,FAQ
Rajasthan,rajsamand,Rajsamand,Potato,Potato,FAQ
West Bengal,north 24 parganas,Barasat,Potato,Other,FAQ
Himachal Pradesh,hamirpur,Raath,Wheat,Dara,FAQ
Uttar Pradesh,bareilly,Bahedi,Onion,Red,FAQ
Uttar Pradesh,sitapur,Viswan,Onion,Red,FAQ
Maharashtra,pune,Pune(Pimpri),Tomato,Local,FAQ
Madhya Pradesh,dindori,Shahpura,Wheat,Local,FAQ
Kerala,ernakulam,Perumbavoor,Onion,Onion,FAQ
Uttar Pradesh,balrampur,Tulsipur,Wheat,Dara,FAQ
Haryana,faridabad,Ballabhgarh,Onion,Other,FAQ
Himachal Pradesh,shimla,Shimla,Potato,Other,FAQ
Punjab,sangrur,Sangrur,Tomato,Tomato,FAQ
Gujarat,sabarkantha,Talod,Wheat,Other,FAQ
Madhya Pradesh,sidhi,Sidhi,Wheat,Mill Quality,FAQ
 Punjab,fazilka,Jalalabad,Tomato,Other,FAQ
Uttar Pradesh,firozabad,Tundla,Wheat,Dara,FAQ
Maharashtra,sholapur,Solapur,Wheat,Sharbati,FAQ
Uttar Pradesh,auraiya,Auraiya,Wheat,Dara,FAQ
Uttar Pradesh,badaun,Wazirganj,Wheat,Dara,FAQ
Assam,lakhimpur,Golagokarnath,Tomato,Hybrid,FAQ
Orissa,keonjhar,Saharpada,Onion,Other,FAQ
Madhya Pradesh,rajgarh,Narsinghgarh,Tomato,Other,FAQ
West Bengal,birbhum,Rampurhat,Potato,Jyoti,FAQ
Uttar Pradesh,unnao,Unnao,Tomato,Hybrid,FAQ
Gujarat,rajkot,Rajkot(Veg.Sub Yard),Potato,Desi,FAQ
Madhya Pradesh,raisen,Gairatganj,Wheat,Dara Mill Quality,FAQ
Maharashtra,satara,Vai,Tomato,Local,FAQ
Uttar Pradesh,ghazipur,Gazipur,Wheat,Dara,FAQ
Haryana,panchkula,Raipur Rai,Potato,Other,FAQ
Orissa,jharsuguda,Jharsuguda,Potato,Other,FAQ
Maharashtra,ahmednagar,Rahata,Potato,Other,FAQ
West Bengal,murshidabad,Jiaganj,Potato,Jyoti,FAQ
Punjab,nawanshahr,Nawan Shahar(Subzi Mandi),Tomato,Other,FAQ
Haryana,jind,Narwana,Tomato,Other,FAQ
Haryana,gurgaon,Gurgaon,Tomato,Other,FAQ
Uttar Pradesh,badaun,Visoli,Tomato,Deshi,FAQ
West Bengal,birbhum,Sainthia,Onion,Nasik,FAQ
Haryana,panchkula,Panchkul(Kalka),Tomato,Other,FAQ
Jammu & Kashmir,jammu,Batote,Onion,Other,FAQ
Maharashtra,raigad,Panvel,Tomato,Other,FAQ
Punjab,amritsar,Rayya,Potato,Other,FAQ
Orissa,dhenkanal,Hindol,Tomato,Tomato,FAQ
West Bengal,nadia,Bethuadahari,Onion,Dry F.A.Q.,FAQ
Kerala,ernakulam,Aluva,Potato,Potato,FAQ
Uttar Pradesh,etah,Etah,Wheat,Dara,FAQ
Uttar Pradesh,fatehpur,Fatehpur,Wheat,Dara,FAQ
Uttar Pradesh,agra,Fatehpur Sikri,Wheat,Dara,FAQ
Haryana,panchkula,"New Grain Market , Panchkula",Onion,Other,FAQ
Haryana,karnal,"New Grain Market(main), Karnal",Onion,Other,FAQ
Madhya Pradesh,shajapur,Shujalpur,Onion,Other,FAQ
Maharashtra,nashik,Pimpalgaon,Tomato,Other,FAQ
Maharashtra,satara,Phaltan,Tomato,Other,FAQ
Haryana,gurgaon,Sohna,Onion,Onion,FAQ
Uttar Pradesh,ballia,Ballia,Potato,Potato,FAQ
Bihar,sheikhpura,Barbigha,Wheat,147 Average,FAQ
Kerala,kottayam,Pampady,Tomato,Other,FAQ
Madhya Pradesh,seoni,Lakhnadon,Wheat,Mill Quality,FAQ
Madhya Pradesh,hoshangabad,Hoshangabad,Tomato,Deshi,FAQ
Uttar Pradesh,amethi,Jafarganj,Tomato,Deshi,FAQ
Kerala,ernakulam,Ernakulam,Potato,Potato,FAQ
Gujarat,sabarkantha,Dhansura,Wheat,Milbar,FAQ
Maharashtra,nanded,Nanded,Wheat,Sharbati,FAQ
Delhi,delhi,Narela,Wheat,Mexican,FAQ
Uttar Pradesh,sitapur,Mehmoodabad,Onion,Red,FAQ
Maharashtra,pune,Pune(Khadiki),Tomato,Local,FAQ
Punjab,hoshiarpur,Dasuya,Onion,Other,FAQ
Punjab,amritsar,Rayya,Tomato,Hybrid,FAQ
West Bengal,bankura,Bishnupur(Bankura),Wheat,Sonalika,FAQ
Rajasthan,bundi,Bundi,Wheat,Other,FAQ
Madhya Pradesh,sagar,Deori,Potato,Other,FAQ
Punjab,moga,Baghapurana,Onion,Medium,FAQ
Rajasthan,rajsamand,Rajsamand,Tomato,Tomato,FAQ
Uttar Pradesh,aligarh,Charra,Onion,Red,FAQ
Punjab,faridkot,Faridkot,Potato,Potato,FAQ
Uttar Pradesh,etawah,Bharthna,Wheat,Dara,FAQ
Gujarat,anand,Borsad,Wheat,Other,FAQ
Uttar Pradesh,badaun,Bilsi,Wheat,Local,FAQ
Madhya Pradesh,chhatarpur,Bijawar,Wheat,Mill Quality,FAQ
Orissa,ganjam,Hinjilicut,Potato,Other,FAQ
Madhya Pradesh,chhindwara,Chaurai,Wheat,Other,FAQ
Madhya Pradesh,hoshangabad,Bankhedi,Wheat,Other,FAQ
Maharashtra,pune,Pune(Manjri),Potato,Other,FAQ
Madhya Pradesh,hoshangabad,Hoshangabad,Onion,Onion,FAQ
Uttar Pradesh,kaushambi,Bharwari,Wheat,Dara,FAQ
Punjab,nawanshahr,Nawan Shahar(Subzi Mandi),Onion,Other,FAQ
Madhya Pradesh,betul,Bhensdehi,Wheat,Lokwan,FAQ
Punjab,moga,Dharamkot,Tomato,Other,FAQ
Madhya Pradesh,rajgarh,Biaora,Wheat,Other,FAQ
West Bengal,birbhum,Birbhum,Wheat,Sonalika,FAQ
Madhya Pradesh,harda,Timarni,Tomato,Tomato,FAQ
Punjab,gurdaspur,Dera Baba Nanak,Potato,Desi,FAQ
West Bengal,murshidabad,Jangipur,Potato,Jyoti,FAQ
Delhi,delhi,Shahdara,Tomato,Tomato,FAQ
